"등록현황별(1)","등록현황별(2)",행정구역(시군)별(1),2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형별","뇌전증",정읍시,27,26,25,26,26,28,31,34,37,33
"장애유형별","뇌전증",남원시,35,38,37,38,37,41,42,45,45,40
"장애유형별","뇌전증",김제시,41,42,41,44,43,43,47,48,50,48
"장애유형별","뇌전증",완주군,20,20,18,18,19,18,21,21,21,21
"장애유형별","뇌전증",진안군,11,11,11,12,11,11,12,13,12,12
"장애유형별","뇌전증",무주군,8,9,8,8,6,5,6,5,4,5
"장애유형별","뇌전증",장수군,9,10,10,11,12,11,12,12,14,16
"장애유형별","뇌전증",임실군,5,5,6,5,5,4,4,5,5,6
"장애유형별","뇌전증",순창군,8,10,12,12,13,13,13,13,13,15
"장애유형별","뇌전증",고창군,12,12,11,11,10,12,13,13,10,11
"장애유형별","뇌전증",부안군,13,14,16,17,18,17,15,17,18,20
