"등록현황별(1)","등록현황별(2)",행정구역(시군)별(1),2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형","정신장애",상주시,398,394,407,410,414,412,416,414,392,390
"장애유형","정신장애",문경시,208,210,205,205,202,202,193,187,181,183
"장애유형","정신장애",경산시,611,591,569,554,539,535,521,508,503,501
"장애유형","정신장애",군위군,74,74,72,74,75,73,73,76,68,70
"장애유형","정신장애",의성군,227,231,234,236,234,244,242,235,240,241
"장애유형","정신장애",청송군,94,93,90,87,84,89,87,85,86,82
"장애유형","정신장애",영양군,62,66,67,67,66,72,71,71,76,76
"장애유형","정신장애",영덕군,144,147,149,146,148,148,149,137,137,140
"장애유형","정신장애",청도군,162,159,156,164,168,168,169,170,171,163
"장애유형","정신장애",고령군,82,80,82,85,85,86,87,87,87,93
"장애유형","정신장애",성주군,134,134,134,137,137,135,138,139,137,136
"장애유형","정신장애",칠곡군,343,341,347,345,354,360,348,348,335,337
"장애유형","정신장애",예천군,179,185,183,183,181,184,177,183,177,175
"장애유형","정신장애",봉화군,103,105,108,109,109,110,108,104,109,108
"장애유형","정신장애",울진군,155,154,154,153,160,163,167,166,167,163
"장애유형","정신장애",울릉군,12,14,13,13,13,12,12,11,11,9
"장애유형","신장장애",포항시,1053,1027,960,909,840,778,711,655,612,560
"장애유형","신장장애",경주시,596,577,551,525,483,457,424,388,356,338
"장애유형","신장장애",김천시,339,313,286,276,265,251,238,219,201,189
"장애유형","신장장애",안동시,351,345,325,323,307,299,288,269,256,240
"장애유형","신장장애",구미시,704,688,645,622,587,557,514,480,477,444
"장애유형","신장장애",영주시,214,200,190,185,181,176,165,169,153,138
"장애유형","신장장애",영천시,228,213,211,201,192,184,176,163,167,159
"장애유형","신장장애",상주시,242,237,220,218,203,189,175,166,156,144
"장애유형","신장장애",문경시,142,140,135,121,107,109,113,117,106,101
"장애유형","신장장애",경산시,594,565,524,498,466,444,402,381,349,320
"장애유형","신장장애",군위군,55,51,48,49,44,42,46,47,43,42
"장애유형","신장장애",의성군,129,122,119,113,100,86,84,90,85,79
"장애유형","신장장애",청송군,41,35,34,33,32,36,32,27,29,26
"장애유형","신장장애",영양군,37,35,32,31,33,33,31,29,28,28
"장애유형","신장장애",영덕군,99,101,88,80,73,71,62,60,59,63
"장애유형","신장장애",청도군,119,105,100,99,94,93,97,90,76,74
"장애유형","신장장애",고령군,79,83,72,71,74,66,56,51,52,49
"장애유형","신장장애",성주군,105,88,84,83,81,75,82,72,65,53
"장애유형","신장장애",칠곡군,198,186,184,188,174,173,149,148,147,133
"장애유형","신장장애",예천군,107,96,84,79,72,71,68,60,61,54
"장애유형","신장장애",봉화군,87,81,78,70,74,67,63,51,47,43
"장애유형","신장장애",울진군,97,93,97,89,86,81,76,78,69,66
"장애유형","신장장애",울릉군,7,7,8,8,10,8,9,5,3,4
"장애유형","심장장애",포항시,119,129,133,138,138,139,147,153,154,167
"장애유형","심장장애",경주시,26,25,24,27,26,25,29,29,32,32
"장애유형","심장장애",김천시,10,14,14,11,13,13,15,16,20,23
"장애유형","심장장애",안동시,10,12,13,10,13,14,13,11,12,13
"장애유형","심장장애",구미시,23,25,26,27,29,29,24,24,31,29
"장애유형","심장장애",영주시,10,10,11,11,12,9,10,12,12,15
"장애유형","심장장애",영천시,11,11,9,8,9,12,13,9,9,8
"장애유형","심장장애",상주시,8,8,7,8,7,8,8,9,7,7
"장애유형","심장장애",문경시,6,7,5,4,4,5,5,5,4,5
"장애유형","심장장애",경산시,16,15,11,13,14,15,14,17,20,23
"장애유형","심장장애",군위군,2,2,2,2,2,1,1,3,4,5
"장애유형","심장장애",의성군,9,9,8,7,10,10,7,7,5,4
"장애유형","심장장애",청송군,3,2,2,4,4,4,6,8,7,6
"장애유형","심장장애",영양군,-,-,1,1,1,3,2,2,3,1
