"장애인등록현황별(1)","장애인등록현황별(2)",시군별(1),시군별(2),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형","자폐성장애",남부,용인시,1004,891,786,699,636,596,536,491,424,372,330
"장애유형","자폐성장애",남부,이천시,226,197,186,166,159,144,127,112,99,90,73
"장애유형","자폐성장애",남부,안성시,126,120,111,104,88,89,80,81,59,55,49
"장애유형","자폐성장애",남부,김포시,379,335,275,238,212,180,158,135,120,108,82
"장애유형","자폐성장애",남부,화성시,776,631,528,453,403,345,303,257,215,178,164
"장애유형","자폐성장애",남부,광주시,320,255,230,203,173,154,126,112,91,80,77
"장애유형","자폐성장애",남부,여주시,87,77,67,62,63,56,52,47,39,37,33
"장애유형","자폐성장애",남부,양평군,119,106,90,74,67,56,52,56,42,36,37
"장애유형","자폐성장애",북부,의정부시,392,345,305,271,253,235,218,204,180,169,153
"장애유형","자폐성장애",북부,동두천시,60,51,46,46,38,38,35,34,32,28,30
"장애유형","자폐성장애",북부,고양시,1233,1121,1024,972,918,872,803,780,737,680,646
"장애유형","자폐성장애",북부,구리시,160,146,122,121,112,109,100,98,87,81,74
"장애유형","자폐성장애",북부,남양주시,567,515,467,410,373,340,300,279,253,227,210
"장애유형","자폐성장애",북부,파주시,544,492,439,389,362,319,287,254,232,195,180
"장애유형","자폐성장애",북부,양주시,228,181,160,140,124,114,98,88,78,59,56
"장애유형","자폐성장애",북부,포천시,68,67,62,56,53,52,52,44,40,38,33
"장애유형","자폐성장애",북부,연천군,24,22,21,20,20,18,17,15,14,14,7
"장애유형","자폐성장애",북부,가평군,37,37,31,30,31,28,26,28,28,25,19
"장애유형","정신장애",남부,수원시,1612,1587,1562,1531,1501,1476,1433,1379,1328,1270,1218
"장애유형","정신장애",남부,성남시,1374,1409,1410,1409,1406,1388,1382,1372,1336,1319,1296
"장애유형","정신장애",남부,안양시,732,727,707,703,718,717,701,696,705,688,694
"장애유형","정신장애",남부,부천시,1398,1440,1449,1427,1383,1366,1322,1300,1263,1195,1177
"장애유형","정신장애",남부,광명시,468,479,491,492,502,521,515,512,506,489,483
"장애유형","정신장애",남부,평택시,764,764,750,743,729,731,691,677,677,657,629
"장애유형","정신장애",남부,안산시,991,1010,1011,984,957,946,907,908,918,895,889
"장애유형","정신장애",남부,과천시,75,75,69,66,67,65,65,71,76,67,65
"장애유형","정신장애",남부,오산시,439,450,460,457,446,441,423,421,416,407,406
"장애유형","정신장애",남부,시흥시,614,600,570,546,526,509,489,469,462,440,414
"장애유형","정신장애",남부,군포시,411,416,408,393,398,388,363,370,355,347,344
"장애유형","정신장애",남부,의왕시,236,232,229,235,226,215,220,208,207,211,214
"장애유형","정신장애",남부,하남시,339,346,341,322,308,297,283,267,235,213,207
"장애유형","정신장애",남부,용인시,1509,1515,1522,1523,1522,1499,1437,1425,1387,1390,1334
"장애유형","정신장애",남부,이천시,331,336,327,326,315,316,313,304,289,278,277
"장애유형","정신장애",남부,안성시,366,349,339,330,322,310,300,293,273,272,276
"장애유형","정신장애",남부,김포시,562,565,534,511,508,483,460,444,426,420,384
"장애유형","정신장애",남부,화성시,992,981,957,930,896,868,848,844,775,745,765
"장애유형","정신장애",남부,광주시,380,376,369,349,343,327,295,285,276,262,263
"장애유형","정신장애",남부,여주시,244,250,246,243,238,231,226,219,216,203,205
"장애유형","정신장애",남부,양평군,243,253,242,239,238,226,223,214,210,203,206
"장애유형","정신장애",북부,의정부시,831,827,811,781,761,743,731,726,718,689,660
"장애유형","정신장애",북부,동두천시,339,345,343,335,335,344,337,331,329,327,333
"장애유형","정신장애",북부,고양시,1599,1574,1534,1507,1490,1441,1393,1376,1331,1242,1236
"장애유형","정신장애",북부,구리시,244,243,244,243,237,242,245,230,226,226,215
"장애유형","정신장애",북부,남양주시,905,909,892,877,876,857,855,829,817,800,763
"장애유형","정신장애",북부,파주시,672,663,642,624,608,599,587,581,551,544,526
"장애유형","정신장애",북부,양주시,583,554,557,565,564,572,564,560,560,541,507
"장애유형","정신장애",북부,포천시,303,311,313,307,305,308,301,301,305,307,309
"장애유형","정신장애",북부,연천군,113,116,108,108,101,111,108,107,111,102,101
"장애유형","정신장애",북부,가평군,444,444,449,457,477,479,479,496,504,509,500
"장애유형","신장장애",남부,수원시,2149,2098,2001,1927,1826,1753,1678,1588,1441,1371,1261
"장애유형","신장장애",남부,성남시,1753,1691,1666,1642,1616,1548,1508,1424,1342,1282,1243
"장애유형","신장장애",남부,안양시,1107,1107,1064,1029,1031,1004,970,932,875,818,754
"장애유형","신장장애",남부,부천시,1725,1744,1755,1680,1609,1560,1525,1413,1331,1261,1195
"장애유형","신장장애",남부,광명시,566,570,553,540,540,534,516,509,482,468,432
"장애유형","신장장애",남부,평택시,977,995,923,855,819,758,701,653,637,584,553
"장애유형","신장장애",남부,안산시,1348,1318,1286,1239,1199,1105,1068,996,918,857,819
"장애유형","신장장애",남부,과천시,92,93,94,82,78,81,85,90,89,88,82
"장애유형","신장장애",남부,오산시,394,377,342,325,313,272,247,237,236,216,204
"장애유형","신장장애",남부,시흥시,965,934,864,787,719,658,587,516,458,430,422
"장애유형","신장장애",남부,군포시,569,561,542,538,512,498,454,411,408,370,367
"장애유형","신장장애",남부,의왕시,310,306,305,284,274,252,235,233,214,206,205
"장애유형","신장장애",남부,하남시,579,575,549,510,430,395,329,298,249,205,187
"장애유형","신장장애",남부,용인시,1814,1771,1707,1590,1540,1431,1318,1260,1176,1118,1040
"장애유형","신장장애",남부,이천시,456,457,439,411,366,339,319,305,286,274,244
"장애유형","신장장애",남부,안성시,396,384,372,350,310,295,280,268,256,234,237
"장애유형","신장장애",남부,김포시,876,883,853,805,719,643,583,509,465,439,393
"장애유형","신장장애",남부,화성시,1268,1232,1145,1069,972,891,766,677,621,565,530
"장애유형","신장장애",남부,광주시,784,781,732,670,610,574,541,504,472,421,387
"장애유형","신장장애",남부,여주시,270,262,248,245,228,208,196,191,173,161,152
"장애유형","신장장애",남부,양평군,316,295,284,277,261,246,227,207,191,184,180
"장애유형","신장장애",북부,의정부시,1031,1030,1000,963,895,858,819,751,714,691,677
"장애유형","신장장애",북부,동두천시,263,257,246,230,218,228,222,220,210,202,173
"장애유형","신장장애",북부,고양시,2050,2093,2007,1871,1748,1669,1554,1432,1355,1242,1142
"장애유형","신장장애",북부,구리시,438,426,414,386,375,365,344,303,271,252,241
"장애유형","신장장애",북부,남양주시,1570,1514,1474,1364,1295,1191,1104,1028,977,884,812
"장애유형","신장장애",북부,파주시,961,907,862,803,759,714,653,638,598,536,495
"장애유형","신장장애",북부,양주시,591,562,529,500,460,450,423,374,348,334,301
"장애유형","신장장애",북부,포천시,388,394,387,357,346,332,335,303,291,264,252
"장애유형","신장장애",북부,연천군,104,100,99,102,105,88,87,81,82,69,72
"장애유형","신장장애",북부,가평군,164,168,162,156,138,130,133,127,119,112,109
"장애유형","심장장애",남부,수원시,78,73,71,78,78,81,81,77,84,87,82
"장애유형","심장장애",남부,성남시,105,117,122,129,132,134,143,151,163,170,177
"장애유형","심장장애",남부,안양시,40,40,44,47,45,47,53,56,59,69,72
"장애유형","심장장애",남부,부천시,55,56,59,57,66,69,70,69,63,69,65
"장애유형","심장장애",남부,광명시,25,27,30,32,34,33,38,37,41,56,60
"장애유형","심장장애",남부,평택시,61,64,67,64,63,56,58,61,60,70,73
