"등록현황별(1)","등록현황별(2)",행정구역(시군)별(1),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형별","정신장애",거제시,297,285,282,276,263,261,250,245,246,241,230,225
"장애유형별","정신장애",양산시,796,791,791,769,753,752,728,701,655,604,564,548
"장애유형별","정신장애",의령군,147,140,144,147,146,147,146,147,150,145,152,156
"장애유형별","정신장애",함안군,169,172,180,191,196,196,198,194,195,188,179,177
"장애유형별","정신장애",창녕군,239,253,249,248,249,248,245,254,249,243,250,245
"장애유형별","정신장애",고성군,302,296,304,302,301,309,311,313,309,316,316,316
"장애유형별","정신장애",남해군,141,144,138,141,141,148,148,148,153,152,151,142
"장애유형별","정신장애",하동군,198,205,209,204,210,217,215,215,215,214,218,214
"장애유형별","정신장애",산청군,135,144,150,155,146,150,149,150,151,142,142,142
"장애유형별","정신장애",함양군,230,233,244,248,253,256,251,256,256,259,254,267
"장애유형별","정신장애",거창군,203,208,205,207,207,212,210,212,206,195,199,186
"장애유형별","정신장애",합천군,227,236,230,238,239,248,248,249,258,260,250,242
"장애유형별","신장장애",창원시,2219,2115,2071,2039,1910,1791,1728,1665,1556,1499,1387,1288
"장애유형별","신장장애",진주시,828,789,771,757,715,665,636,608,556,531,508,488
"장애유형별","신장장애",통영시,331,327,335,325,304,300,275,270,251,238,218,198
"장애유형별","신장장애",사천시,292,269,256,236,217,218,216,213,197,188,185,173
"장애유형별","신장장애",김해시,1086,1052,1008,978,910,844,781,718,642,614,576,516
"장애유형별","신장장애",밀양시,282,270,262,259,249,227,220,217,209,191,180,166
"장애유형별","신장장애",거제시,423,402,381,350,341,315,285,268,253,257,226,218
"장애유형별","신장장애",양산시,822,776,736,682,642,586,556,497,438,381,367,331
"장애유형별","신장장애",의령군,44,45,43,48,49,48,48,47,44,41,34,31
"장애유형별","신장장애",함안군,150,147,138,137,145,149,143,121,116,115,105,100
"장애유형별","신장장애",창녕군,149,155,158,163,148,140,132,142,127,119,104,105
"장애유형별","신장장애",고성군,142,140,145,135,127,116,119,118,108,106,100,87
"장애유형별","신장장애",남해군,132,132,131,124,121,107,102,96,84,85,83,79
