"행정구역(시군구)별",2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
"행정구역(시군구)별",총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
"순창군",27714,26822,26764,26727,26855,27810,28382,29209,29698,29949,30248,30368,30272,30055
"고창군",50396,50982,51750,52338,53386,54529,55504,57041,60472,60597,60046,60090,60522,60440
"부안군",47220,48066,49187,50094,50795,52140,53295,54441,56086,57005,56848,57534,59164,58869
"전라남도",1779135,1788819,1804217,1817697,1832803,1851549,1868745,1882970,1896424,1903914,1908996,1905780,1907172,1909618
"목포시",202003,209890,214156,216939,218589,224044,229861,232327,234379,237739,238382,239109,240936,245073
"여수시",263284,267816,271696,274765,276762,280242,282786,283300,286382,288988,290168,290900,291366,292217
"순천시",275492,276329,278137,278737,281436,282189,279598,279389,279331,278548,278765,277188,275668,273798
"나주시",117076,116654,117377,116456,116726,115613,114664,113839,110110,104376,98182,90669,87754,88067
"광양시",155259,154692,152666,152168,150531,151769,156750,156564,155857,155580,153587,152097,151621,150837
"담양군",44177,44623,45373,45792,46180,46280,46535,46917,47285,47229,47009,47177,47365,47612
"곡성군",27287,26566,26905,27060,27535,28039,28887,29624,30131,30400,30672,30732,31009,30878
"구례군",23803,24025,24314,24655,25235,25719,26563,27117,27525,27412,27308,27170,27115,27077
"고흥군",59455,60190,61113,61880,62762,63922,64913,65777,66736,67656,68601,69641,70631,71560
"보성군",36858,37045,37686,38471,39375,40482,41420,42803,43755,44469,45349,45882,46385,47050
"화순군",60215,60735,61254,62024,62624,62522,62737,63933,64680,65303,65848,66772,67829,68378
"장흥군",34201,34451,35046,35650,36547,37800,38563,39312,40136,40669,43513,43190,43004,42672
"강진군",31799,32189,32722,33177,33753,34597,35286,36144,36868,37753,38758,39861,40079,40241
"해남군",62188,63120,64575,65831,67166,68806,70354,71901,73604,75121,76194,76981,77684,78150
"영암군",50069,51391,52350,52395,52937,53699,54593,54731,55616,57045,58137,58852,59061,59997
"무안군",95592,92687,90296,90608,91107,86132,81105,81991,82872,82109,82236,81696,79367,75741
"함평군",29458,30010,30601,30784,31274,32050,32861,33420,34328,34397,34876,35090,35610,35780
"영광군",53526,52098,51750,52197,51985,53099,53852,54127,54774,55618,56267,56833,57617,57224
"장성군",42958,42026,42543,43146,43365,44464,45739,45795,46111,46104,46360,46273,46292,46289
"완도군",44613,45631,46641,47597,48631,49916,50689,51477,52109,52668,53014,53174,53619,53871
"진도군",27964,28478,28979,29507,30066,31227,30715,31219,31765,32078,32476,32746,32998,33208
"신안군",41858,38173,38037,37858,38217,38938,40274,41263,42070,42652,43294,43747,44162,43898
"경상북도",2506526,2531384,2554324,2600492,2626609,2639422,2665836,2676831,2691706,2700398,2702826,2700794,2699440,2698353
"포항시",488707,491581,493033,496650,503852,502916,507025,510013,513832,516775,519584,519368,519467,518913
"남구",215206,220613,226278,227486,230801,230422,235633,239400,242469,244748,246445,247649,249709,251434
"북구",273501,270968,266755,269164,273051,272494,271392,270613,271363,272027,273139,271719,269758,267479
"경주시",244055,244769,247489,249607,251889,253502,255402,256864,257903,259452,259773,261535,263283,264091
"김천시",133791,135446,137515,139324,140239,140548,141229,141104,142908,142256,140132,135456,135259,135504
"안동시",152610,153159,152935,154610,156972,158907,160052,162180,166272,168798,169221,168697,168461,168302
